Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
821,Stephen Curry,14,2009-11-17,21-248,GSW,@,CLE,L 108-114,*,41,6,10,0.6,4,4,1.0,2,6,0.333,0,1,0.0,0.67,0,5,5,7,0,0,3,2,14,11.6,-2.1,-4,G,curryst01
822,Stephen Curry,14,2009-12-09,21-270,GSW,@,NJN,W 105-89,*,30,6,13,0.462,5,9,0.556,1,4,0.25,1,2,0.5,0.504,1,3,4,4,3,0,4,4,14,8.7,-2.8,7,G,curryst01
823,Stephen Curry,14,2009-12-14,21-275,GSW,@,PHI,L 101-117,*,36,5,13,0.385,4,9,0.444,1,4,0.25,3,4,0.75,0.474,0,4,4,4,4,1,4,5,14,9.2,-4.2,-14,G,curryst01
824,Stephen Curry,14,2009-12-22,21-283,GSW,@,MEM,L 108-121,*,41,6,15,0.4,4,9,0.444,2,6,0.333,0,0,,0.467,1,6,7,8,0,0,4,2,14,9.2,-5.1,-3,G,curryst01
825,Stephen Curry,14,2010-01-31,21-323,GSW,@,OKC,L 104-112,*,36,4,10,0.4,2,8,0.25,2,2,1.0,4,4,1.0,0.595,2,2,4,5,1,0,5,2,14,9.3,-3.8,-18,G,curryst01
826,Stephen Curry,14,2010-02-02,21-325,GSW,@,HOU,L 97-119,*,30,6,18,0.333,4,13,0.308,2,5,0.4,0,0,,0.389,1,1,2,4,1,0,0,1,14,8.2,-3.5,-22,G,curryst01
827,Stephen Curry,14,2010-03-22,22-008,GSW,,PHO,L 131-133,*,34,6,15,0.4,4,10,0.4,2,5,0.4,0,0,,0.467,1,3,4,8,4,0,1,4,14,14.5,2.8,-8,G,curryst01
828,Stephen Curry,14,2011-01-24,22-316,GSW,,SAS,L 102-113,*,36,6,15,0.4,4,10,0.4,2,5,0.4,0,0,,0.467,1,5,6,5,0,1,4,4,14,6.7,-6.7,-4,G,curryst01
829,Stephen Curry,14,2011-02-15,22-338,GSW,,NOH,W 102-89,*,24,5,5,1.0,2,2,1.0,3,3,1.0,1,1,1.0,1.287,0,0,0,8,1,0,3,3,14,14.9,16.6,13,G,curryst01
830,Stephen Curry,14,2012-02-12,23-335,GSW,,HOU,W 106-97,*,34,5,14,0.357,2,8,0.25,3,6,0.5,1,1,1.0,0.485,0,0,0,5,2,0,2,4,14,8.1,-3.1,4,G,curryst01
831,Stephen Curry,14,2013-02-06,24-329,GSW,@,OKC,L 98-119,*,36,5,20,0.25,3,13,0.231,2,7,0.286,2,2,1.0,0.335,3,5,8,11,1,0,6,3,14,7.1,-6.5,-8,G,curryst01
832,Stephen Curry,14,2013-12-23,25-284,GSW,@,DEN,W 89-81,*,35,5,14,0.357,3,11,0.273,2,3,0.667,2,4,0.5,0.444,0,3,3,7,2,1,2,4,14,10.3,5.3,8,G,curryst01
833,Stephen Curry,14,2013-12-27,25-288,GSW,,PHO,W 115-86,*,34,5,17,0.294,4,11,0.364,1,6,0.167,3,5,0.6,0.365,3,10,13,16,1,0,7,3,14,12.4,-1.8,27,G,curryst01
834,Stephen Curry,14,2014-01-05,25-297,GSW,@,WAS,W 112-96,*,38,5,17,0.294,4,12,0.333,1,5,0.2,3,3,1.0,0.382,1,2,3,10,1,1,2,5,14,10.1,-4.4,35,G,curryst01
835,Stephen Curry,14,2014-03-05,25-356,GSW,@,BOS,W 108-88,*,22,6,10,0.6,5,6,0.833,1,4,0.25,1,1,1.0,0.67,0,3,3,4,1,0,0,3,14,12.9,8.7,28,G,curryst01
836,Stephen Curry,14,2014-12-25,26-286,GSW,@,LAC,L 86-100,*,36,5,12,0.417,4,7,0.571,1,5,0.2,3,4,0.75,0.509,2,7,9,7,2,0,5,3,14,11.4,0.4,-12,G,curryst01
837,Stephen Curry,14,2016-01-27,27-319,GSW,,DAL,W 127-107,*,32,4,11,0.364,1,4,0.25,3,7,0.429,3,3,1.0,0.568,1,1,2,9,3,1,0,2,14,18.1,10.1,26,G,curryst01
838,Stephen Curry,14,2016-03-19,28-005,GSW,@,SAS,L 79-87,*,38,4,18,0.222,3,6,0.5,1,12,0.083,5,5,1.0,0.347,2,4,6,6,2,0,2,0,14,9.8,0.3,-10,G,curryst01
839,Stephen Curry,14,2016-12-30,28-291,GSW,,DAL,W 108-99,*,30,5,12,0.417,2,6,0.333,3,6,0.5,1,1,1.0,0.563,0,4,4,5,1,0,1,2,14,11.5,1.7,14,G,curryst01
840,Stephen Curry,14,2018-01-30,29-322,GSW,@,UTA,L 99-129,*,30,4,13,0.308,3,6,0.5,1,7,0.143,5,5,1.0,0.461,1,1,2,5,0,0,3,1,14,7.6,-7.5,-17,G,curryst01
841,Stephen Curry,14,2019-01-08,30-300,GSW,,NYK,W 122-95,*,32,5,19,0.263,2,7,0.286,3,12,0.25,1,1,1.0,0.36,1,6,7,14,1,0,1,3,14,13.8,0.7,36,G,curryst01
842,Stephen Curry,14,2019-02-02,30-325,GSW,,LAL,W 115-101,*,33,5,15,0.333,3,6,0.5,2,9,0.222,2,3,0.667,0.429,0,4,4,2,0,0,2,2,14,4.9,-10.6,13,G,curryst01
843,Stephen Curry,14,2021-03-11,32-362,GSW,@,LAC,L 104-130,*,27,6,16,0.375,5,8,0.625,1,8,0.125,1,2,0.5,0.415,0,4,4,3,2,1,2,1,14,8.4,-1.0,-19,G,curryst01
844,Stephen Curry,14,2022-01-05,33-297,GSW,@,DAL,L 82-99,*,36,5,24,0.208,4,15,0.267,1,9,0.111,3,4,0.75,0.272,0,9,9,5,0,1,5,2,14,-0.1,-12.0,0,G,curryst01
845,Stephen Curry,14,2024-03-20,36-006,GSW,,MEM,W 137-116,*,24,5,9,0.556,1,2,0.5,4,7,0.571,0,0,,0.778,1,1,2,3,0,1,2,1,14,11.1,0.9,17,G,curryst01
